Review date,Guest name,Reservation Number,Review title,Positive review,Negative review,Review score,Staff,Cleanliness,Location,Facilities,Comfort,Value for money,Property reply
2022-04-12 14:10:14,Randy,3382092782,Wonderful accommodations that are located just a beautiful stroll along the water from town.,"Wonderful location and spacious, perfect room. Amjed was a gracious host and always available to help us navigate the area. Thanks Amjed!!",N/A,10,10,10,10,10,10,10,"Dear Randy, we are just getting an opportunity to thank you for leaving us such a wonderful review. It was an absolute honour to host you at Rosedene, you were such great guests and the memory of your visit will always be here at Rosedene. We are so glad that you enjoyed our great location and facilities. You are welcome back anytime and we really hope to see you again soon. Take care and all the very best from all here at Rosedene Highland House.    "
2022-04-12 22:56:51,Carla,3067297949,"alojamento perfeito pelo serviço, condições do apartamento e localização.","O alojamento está preparado para uma estadia ultra confortável, com um conjunto de pequenos luxos que nos n faz querer voltar. O atendimento foi muito simpático e sempre disponível em qualquer momento.",Nada.,10,10,10,10,10,10,10,
2022-04-15 12:15:22,Eve,3570124550,Lovely modern apartment 15 minute walk to centre ,"Lovely new apartment! Its very modern and comfortable, the staff member was extremely nice and helpful too. Lovely grounds, about a 15 minute flat walk to the city centre along the river ness which is beautiful. We really did enjoy our stay. ","Just a few little things which didn't meet expectations when considering the star rating and the price - like providing a washing machine but no washing tablets or powder, there were no cleaning products like anti bac spray or wipes. There was also no bottle opener and some of the dishes were dirty that had been put away in the cupboards. The shower door bangs shut and might break eventually, it needs a soft close solution. It's new and I'm sure these things will get rectified. ",8,10,10,7.5,7.5,10,7.5,
2022-04-19 9:50:07,Neil,2690485999,,"The Accommodation was comfortable, clean and spacious. Amjed was very attentive and was always available if needed. Would definitely recommend for couples, groups or families.
",,10,10,10,10,10,10,10,
2022-04-26 13:14:45,Carole,2513736460,"Excellent host, accommodation and location.","Couldn’t fault this overnight stay. Amjed, the owner, was there to welcome us when we arrived and couldn’t have been more helpful. The accommodation was very well furnished and equipped - wish we could have made more use of it but we had to be up and out for the Etape Loch Ness! Would certainly return and recommend to others.",,10,10,10,10,10,10,10,
2022-04-26 15:13:04,Esther,2949262043,"Heerlijk appartement, vriendelijke host op een geweldige plek ten opzichte van de stad!",De locatie is top!,Ik miste een bad,8,10,10,10,7.5,10,7.5,"Dear Esther, we take this opportunity to thank you for choosing to stay at Rosedene, you were fabulous guests. We are delighted that you enjoyed your stay and our fabulous location. 

We do recall on your final night stay you brought to our attention that you thought you had booked an apartment with a bath. We checked this and you had definitely not booked an apartment with a bath and your booking notes didn’t have any request for a bath either.
 
We would like to take this opportunity to mention that we are on the path towards accreditation for our sustainable tourism efforts, as a part of these efforts there was a reduction in the number of baths incorporated into the building design. Had we known that you would have liked an apartment with a bath we would have happily allocated one to you at the time of your booking. 

Thank you so much again for being our special guests and we look forward to welcoming you back to Rosedene very soon. All the best from all at Rosedene Highland House. 

"
2022-04-28 12:29:36,Stephen,3162488185,,,,8,7.5,10,10,10,7.5,7.5,
2022-04-28 22:33:05,Matthew,3825355743,"We had great communication with easy instructions to gain access, met by our host who was great, friendly and informativ","The building is stunning, the room was very spacious and the staff extremely welcoming and helpful!",Hard to say! ,10,10,10,10,10,10,10,"Dear Matthew, we just wanted to say a big thank you for adding such a fabulous review for us, it really means so much to all our teams here who go out of their way to assist all Guests, its wonderful to get the great feedback. You were fabulous Guests and it was such a pleasure to have you at Rosedene, we would have you back again at Rosedene anytime. Take care and we hope to see you again soon. Best Regards from all at Rosedene Highland House. "
2022-04-29 21:40:25,Roland,2687048159,,,,9,10,7.5,10,7.5,10,7.5,
2022-05-09 9:53:55,kim,2554615623,"good location,facilities and very clean",good facilities and location,TV too complicated,9,7.5,10,7.5,7.5,10,7.5,"Dear Kim,

Thank you so much for adding a lovely review for us, it is greatly appreciated and it was a pleasure to have you both at Rosedene. We are so pleased that you found everything to your satisfaction during your brief stay with us, it was a pleasure to get a chance to give you a small tour and to share some of the fascinating history of this great building. We note your comments regarding the Smart TV’s, we are sorry that you couldn’t operate them, certainly no one has found them difficult. they are so easy to operate and you had a personal demonstration during your check-in, it is a one button action on the remote to put the TV on and then another for all your selections, we were also available 24hrs to assist you if you needed further help and it would have been no problem to assist you anytime if you had asked. We do hope to see you again soon. Thank you from all at Rosedene Highland House. "
2022-05-15 10:45:06,michael,2841913708,,,,10,10,10,10,10,10,10,
2022-05-18 22:59:13,Christine,3730105865,Pleasant & comfortable. Did the job for our one night stay.,Very comfortable. We were upgraded to a larger apartment which was better than our original booking.,The fact that you had to be signed up to an app before you could use the TV,8,10,10,10,10,7.5,7.5,
2022-05-28 23:52:44,,,,"très bien situé dans un beau quartier à 10 minutes à pied du centre , très bien équipé ( lave vaisselle, lave linge, smart tv,…),  dans un beau bâtiment ancien, literie confortable et accueil sympathique ",,8,7.5,7.5,10,10,10,7.5,
2022-06-04 12:51:28,John,3767073585,,Leaving,"Poor sound insulation, excepted Manor House but put on the back of extension. Very rude host",1,2.5,2.5,2.5,2.5,2.5,2.5,"Dear John, a malicious, unfounded and disingenuous review is not helpful to anyone, review guidelines are clear that the review facility should be used accurately and without deliberate malicious intent. 

It is most unfortunate that you have chosen to do this. We will now report your misconduct to Booking.com. 

On arrival you and your wife were very argumentative with each other. 

On entry to your Apartment you requested a  twin room as you did not wish to sleep together for your personal reasons at the time. 

You then forcefully and rudely demanded that you have a twin room and stated that you had booked a twin room. 

You had not booked an Apartment with a twin bed and at the late stage of your arrival we could not offer an alternative as we were fully booked. 

We provided you with your booking confirmation details which clearly detailed your Apartment, its location within the building complex. 

Pictures and check-in details were also sent to you all without any response. 

You continued to intimidate our staff saying that you had booked an Apartment with a twin bed. 

Your Apartment had two Bedrooms, sofa bed and also a Guest bed but you didn’t want to use any of those facilities either. 

Well in advance of your arrival (two months prior) we contacted you to ask if you may have any special requirements/requests for your Apartment and unfortunately you did not reply. 

You were both very rude to our Manager who tried everything to help you. 

Booking.com were contacted in your presence  and they confirmed that you did not book an apartment with a twin room facility. 

They offered to relocate you, as we had a wait list we were happy to allow that without charges to you.  

You then decided to stay. 

We then personally checked you in. You didn’t want to go through the full check-in process. 

We offered to help you with local guides and recommendations and you refused that offer. 

You were smoking/vaping in the Apartment and had be politely reminded not to smoke/vape in the Apartment which you continued to do. 

You also left a mess in the Apartment on departure, dismantled furniture and caused damage. 

We had other Guests contact us out of concern as you were causing a disturbance outside the building late at night, including  banging your vehicle doors very late at night/in small hours. 

You were away by the time we came round to speak to you about the situation.

This was the first time we have experienced such bizarre behaviour and on your departure just put it down to a one off isolated event. 

The Apartment was perfect and spotless clean.

It is clear that your comments and review are disingenuous and so far removed from reality. 
  





"
2022-06-08 0:09:12,Kathie,2841913355,Fantastic property in a great location ,Amjed was the consummate host. He was quick to respond to messages and provided a wealth of information regarding things to do and recommendations for restaurants. His remodeling of the house has brought it back to its original glory. The apartment was well appointed and extremely comfortable and the history of the property is so fascinating. ,nothing,10,10,10,10,10,10,10,"Dear Kathie, thanks so much for adding this wonderful review. It is really great that our building, facilities and services are appreciated. We will share this with the whole team who all contribute to providing an exceptional guest experience. You were wonderful guests and we look forward to seeing you again soon. Take care, from all at Rosedene Highland House. "
2022-06-11 14:05:38,Jonatan,2298654137,,,,9,10,10,7.5,10,10,10,
2022-06-15 18:33:21,Sarah,3677965093,great family accommodations close to city ,"friendly host, close proximity to city, great for family",,10,10,10,10,10,10,10,
2022-06-22 17:43:14,Simon,2913325796,"Brand new, spotless, and should we return to Inverness we will book here again.","This elegant and historic building has been recently converted into ten apartments of varying sizes. The conversion has been carried out in excellent taste and the apartment we stayed in was fully equipped, including with two smart TVs. The owner/host is exceptionally friendly and is a leading light in this area.","We would have liked a tumble-drier to supplement the washing machine, although we understand that some of the apartments may be so equipped.",10,10,10,10,10,10,7.5,
2022-06-27 7:28:12,Linda,3860919642,great experience, Very clean and quiet,,10,10,10,10,10,10,10,
2022-07-04 12:28:14,Catrona,2393731735,,,,9,10,10,7.5,10,10,10,
2022-07-04 14:35:35,Scott,3667913732,Beautiful apartment with high quality interior.,"The furniture and decor were of a very high standard.  There were 2 shower rooms in the apartment which was brilliant.  The beds and sofa bed were excellent quality. Our host Amjed met us in person, wearing a suit, and showed us round the apartment and explained everything to us.  Great personal service and lovely apartment. We will definitely be back and would highly recommend to others.",,10,10,10,10,10,10,10,
2022-07-04 15:57:26,Paul,3222606506,Very comfortable rooms in a nicely converted house.  Host was extremely helpful.,,,10,10,10,7.5,10,10,7.5,
2022-07-06 10:21:53,Shaun,3369398740,,,,8,0,10,10,7.5,7.5,5,
2022-07-07 22:39:40,Helena,2553792216,,"Platz, Ausstattung der Küche, Kommunikation vorab, bequemes Bett, mit einem 15-min walk an der Ness entlang schnell in der Stadt, gute Restaurant-tipps vorab, grosser Parkplatz in freien, sehr schönes Haus","1.) Super laute Lüftung des Bades, auch wenn Licht aus war und es nach 20 min ""nachbrennen"" ausschaltet, bleibt immernoch eine recht laute Grundlüftung. Ohne ohrstöpsel ging schlafen nicht
2.) Laken und Kissenbezug mit Flecken. Sicher gewaschen, aber alte Flecken finde ich trotzdem eklig und hätte ich bei einem etablissement mit einer 10er-Bewertung nicht erwartet.",8,7.5,5,7.5,7.5,10,7.5,"Dear Helena, it was great to have you at Rosedene and thanks for taking the time to leave this kind review and feedback. We always aim to excel our Guests expectations and we are delighted that you enjoyed your stay with us. We also take this opportunity to address your constructive criticisms, firstly we have an unrivalled cleanliness and sanitation standard. We have an onsite laundry facility and if you had let us know that there were marks on linen we would have changed them for you straight away, please be assured however that all linens are completely 100% sanitised, are put through clinical standard safe wash processes as well as meeting sustainable and eco-friendly credentials. The linens never have any stains but you may be referring to occasional machine-caused discolouration, your comments on this are an anomaly as we quality check all linens before building up our unique bedding arrangement. In regards to the ventilation, there is a switch clearly marked outside the bathroom where the bathroom extractor fan can be completely deactivated or speed reduced to a silent low trickle, if you had let us know we would have happily helped you identify that switch or come round and adjusted it for you. Thanks again for staying with us and we hope to see you again soon. All the best from the team at Rosedene Highland House. "
2022-07-11 20:33:33,Carol,2510815285,Brilliant,This is an apartment style hotel. Large room with fully equipped kitchen. Very comfortable bed and lovely large bathroom with great shower.  Very helpful host. Would definitely stay again when visiting Inverness.,Everything was good,10,10,10,10,10,10,10,
2022-07-11 22:34:04,,,great location and very comfortable!,modern and spacious,"lacking finishing touches to give warmth and coziness (eg flowers, biscuits etc)",8,10,10,10,10,10,7.5,
2022-07-12 15:37:19,Ian Bee,2958048859,Lovely large apartment in a great location. Also nice and quite.,Great location and nice and quite. Lovely large apartment with terrific large bed and with plenty of facilities for our 2 night stay. Amjed was very attentive in helping us gain access to the property.,The TV was huge with Apple TV and it relied on the residents own log in details for the apps. Unfortunately we do not have (use) many apps and those that we do we did not have our log in details with us. So be warned!  Amjed explained that he had not encountered this before and that they were future proofing the system. I suggest that like most IT systems there need to be a degree of backward compatibility. I suggest that most people do without and say nothing if they cannot log in. Freeview would be a nice cheap addition.,9,10,7.5,10,7.5,10,7.5,"Dear Ian, thank you so much for taking the time to leave us such positive feedback. We always aim to exceed our Guests expectations and we are so pleased that we have achieved that for you. It was such a pleasure to have you both at Rosedene and we hope to see you again. We will also pass on the customer feedback to the Guest Experience team and take this opportunity to provide a response from the property. 

You stayed in Emperor Studio Apartment 3 which has a 55 inch wall mounted flat screen television as one of the features in the Apartment, it has been sympathetically added without any distraction to the original period property features. 

https://www.rosedene-highland-house.com/emperor-studio-3

Your feedback is vital to help other travellers make their reservation choices and we take this opportunity to assure all travellers that our TV entertainment solution has been exceptionally well received by a wide audience. 

The platform had been designed in conjunction with our software developers and Apple, providing a unique international hospitality TV solution. 

The solution allows Guests to contact us 24hrs a day via the TV for any support or supplies required during their stay. 

For the avoidance of doubt and in the interests of travellers who may be considering your comments when making their booking choice, our TV solution does not require guests to login. 

There are a good selection of free view options which do not require any logins. The login is optional. 

The TV platform also provides local information and recommendations, both national and international travellers have really appreciated this feature, it is a wealth of information available at your fingertips and content is regularly updated.  

Our solution ensures a secure home from home entertainment solution can be experienced while travelling, at the same time personal data is protected, during use, and between guest use. 

Our TV’s are configured to allow screen sharing/mirroring so you may securely cast to the TV from your own device. This adds even greater options, privacy and security. Business travellers have used this facility to conduct online meetings and have used the TV’s for presentations. 

We have moved away from the archaic pay per view systems where Hotels historically have charged guests for very basic and limited in-room entertainment.

This has added immense value to our offering and guests have loved it and families have made full use of the free to use system. 

This is all delivered via our own hyper optic fibre network (the only one of its kind in the Highlands) and combined with the specially designed Samsung 4k Hospitality TV’s offers an unrivalled in-room entertainment experience for all guests.

The meticulous attention to detail throughout the project has been second to none including the development of the bespoke in-room entertainment system. 

We have brought the very first classified Apartment Hotel to the Highlands in a unique location, sympathetically and painstakingly converting a truly outstanding historic building. 

We have sympathetically combined the Victorian building with full modern facilities in a safe, secure and environmentally friendly way for Guests to experience. 

Our personal service is made possible via an exceptional team which includes gardeners, maintenance, cleaners, housekeeping, laundry services, guest experience managers, tour operation, corporate client management, parking management, security services, technical support, property management and so much more. 

Thanks again from the team at Rosedene Highland House. 

 "
2022-07-15 0:01:24,Brad,2214027940,excellent fully equipped apartment a short walk from town,"location was great. bed was super comfortable. plenty of space. galley kitchen had everything you need. washer/dryer was a very nice amenity. beautiful and easy riverside 15 minute walk to town, very nice being slightly outside the core as it made driving more day trips much easier. ",nothing,10,10,10,10,10,10,10,
2022-07-15 22:14:58,Brittany,2581488798,Had to pay for the room but didn’t even get to use it when we showed up,,"We wanted to cancel our booking due to a ferry schedule change that was out of our control; the booking was listed as nonrefundable but we had hoped that the owner would be a bit flexible. They were not in the slightest, but we were informed our booking was not actually canceled at that point. We therefore decided to go ahead and show up at check-in time to take a brief nap before running to catch the alternate ferry since we had to pay for the room anyway. We were completely unable to get in, there was no one at reception, we knocked and knocked, we tried to call but the line would not go through. So we paid in full for a room that we had hoped to use for at least a couple of hours, but were unable to get in with no recourse or way to contact anyone.",1,2.5,5,10,5,5,5,"Dear Brittany, we are sorry to hear about your experience and please be assured we take all reviews very seriously whether positive or negative as it helps us to understand and improve on the delivery of our Guest experience and helps us put things right where we may have got things wrong. We have investigated your review and unfortunately you cancelled your reservation and wrote to us to explain that you would not be arriving due to travel disruption. Therefore, we were not expecting you and as the reservation was cancelled, we could not issue you with the self-check in information or plan for the receptionist to meet you either. Only registered Patrons can access our property and you did not enter inside our property at any time, and you did not stay in any of our Apartments. 
Your booking was non-refundable, but we did still try to help you. We reached out to you and offered you a complimentary alternative date via the Booking.com message platform, but you did not respond, and you never requested to re-instate the reservation either. We also spoke to Booking.com to ask that they help you. 
We understand that the travel disruption you experienced would have been very frustrating for you and can only sympathise. 
We wish you all the very best from all at Rosedene Highland House, Central Inverness and please be assured that we are still happy to extend the offer of the alternative date to you and hope to see you next time. 
"
2022-07-16 23:23:25,Emmanuel,2309543788,,,,10,10,10,10,10,10,10,
2022-07-19 8:18:44,Paul,2643842000,loved inverness it was absolutely beautiful ,location ,could have a dryer couldn’t wash clothes as climate wouldn’t dry them in 2 days ,10,10,10,10,10,10,10,
2022-07-19 9:08:20,Nicole,2687955788,sehr entspannt ,"unglaublich hilfsbereiter Manager, tolle Einrichtung.",,9,10,10,7.5,10,10,10,
2022-07-19 16:35:51,kara,2147587238,This is a nice place that is well equipped for a short or long stay.,"beautiful building, well equipped apartment, easy in and out, clean ","would’ve liked it to be just a little closer to town, but the path along the river was great!",9,7.5,10,7.5,7.5,10,10,
2022-07-19 22:47:32,Silvia,2264775571,,,,10,10,10,10,10,10,10,
2022-07-19 23:25:14,Katherine,3652828264,a lovely room in a very quiet neighbourhood close to Inverness Centre,a wonderful 5 nights at this very comfortable apartment. love the big bed!,nothing ,10,10,10,10,10,10,10,
2022-07-22 12:13:44,vered,3626671993,,,,7,5,7.5,5,7.5,7.5,5,
2022-07-22 13:07:07,Fernando Zapater,3628670834,"Amazing property.  The palace was comfortable, well equipped","Everything was properly detailed in the message that we received in booking.com.  Instructions were clear, keys and passkeys easy to find and the property was perfectly prepared for us",Nothing!,10,10,10,10,10,10,7.5,
2022-07-24 17:15:00,reimar,3917689337,"jederzeit wieder, sehr empfehlenswert ","Schön zentral in Invernes, super sauber und geräumig ",,9,10,10,10,10,10,10,
2022-07-24 23:48:46,Berit,3634605622,,aanwezigheid van koffiezetapparaat. wasmachine met droger en andere handige basics/ badjassen/ goede ventilatie ,"het terrein was nogal anders dan de foto’s, deze zijn van het nabij gelegen park. ik had meer een landgoed verwacht. ook was er geen echte receptie te vinden hoewel deze overal wel werd benoemd. het voelde een beetje als een spookhotel. ",8,5,7.5,7.5,10,10,5,"Dear Berit, thanks for your kind review and feedback. We take this opportunity to respond to your comments. We asked you before arrival if you could provide an estimated time of arrival so we could expect you. We had no response from you. You had originally requested a late check in, then an early check in, then a late check out! We obliged all the time. We have now also viewed the CCTV footage of your arrival. You arrived as two groups, first group by foot and second by motor bike, the former early and the later was late. The Apartment was entered within minutes of the first group arriving, easily finding the pass key and entering, also the same when the second group arrived, parking up and entering the apartment within minutes. There was also staff on site and specifically at reception. Our property photos are completely accurate and your description is completely inaccurate. We do not have any photos of the nearby park, so your description is misleading other people who may read your review. In the photo gallery of 45+ photos, only three appear of the nearby Ness Island location, those being the Victorian Footbridge, the River and one of the Ness Island walk paths all perfectly described in our property description. Those three photos are important as they accurately highlight the amazing amenity which is on our doorstep. Also for the reassurance of other travellers who may read this review, Booking.com representatives have visited Rosedene and we have been commended for our accuracy in our photo’s and descriptions. We were fully booked for the duration of the time you stayed with us and your comments are taken as testimony to how well sound proofed our building is and how tranquil the neighbourhood is. Since the 1880’s Rosedene has proudly sat opposite the River Ness and Ness Islands, equidistant to both the town and fabulous recreational amenities such as the walks, parks, museums, fishing amenities, leisure centre, botanic gardens, football and rugby pitches, restaurants, theatre and being easily accessible to the many tour routes nearby. Thanks again for staying with us and may we wish you all the very best from all at Rosedene Highland House. "
2022-07-26 14:15:54,yanmin,3137941229,"It was a exceptional place to stay,unfortunately,we only stayed there for three days.",fantastic location and facilities! big tv and very clean room!  the owner is very helpful and nice ! ,none ,10,10,10,10,10,10,10,"Dear Yanmin, what a great pleasure it was to have you and your family at Rosedene, hopefully we will see you again soon. We are so pleased you enjoyed the stay and we thank you kindly for adding such a wonderful review for us. Take care, from all at Rosedene Highland House "
2022-07-27 13:32:25,Maria Teresa,3669477147,El hotel de los códigos,"El tipo de habitación y lo equipada que estaba la cocina. 
La facilidad para conectarse con wifi a la televisión.",No me esperaba que no hubiese nadie en el hotel para explicar cómo funcionaba todo aunque me habían mandado un email explicándomelo.,9,5,10,7.5,10,10,7.5,"Dear Maria, we would like to thank you and your group for your very kind review. For the avoidance of doubt, you were greeted in total by two staff members, you were offered a personal check-in by one of the staff members but you said it was not required and that you were completely happy and delighted with the Apartments you booked. Before your arrival we had also reached out to ask for an estimated arrival time so we could expect you and there was no response from you. but we still waited for your arrival, we greeted you and made a personal offer to check-you in. We are quite sure you have got your comments regarding entry mixed with another place you may have visited during your tour as we were here and we have further checked that on our CCTV cameras and see the staff helping you. We wish you all the best and hope to welcome you back to Rosedene soon, from all at Rosedene Highland House  "
2022-07-28 21:08:07,Robbie,3306309637,,,,8,10,7.5,10,7.5,7.5,5,
2022-07-30 10:55:00,Alessandro,3836035151,molto bello,"letti, televisori Maxx, bellissima struttura in generale",lavandini un po’ piccoli ,10,0,10,10,10,10,7.5,
2022-07-30 23:06:20,Christohpe,3668295973,,,,9,10,10,10,10,10,7.5,
2022-08-01 11:46:08,Ilja,3721264975,,,,8,10,7.5,10,5,7.5,7.5,
2022-08-01 20:17:20,Mary_Kathryn,3846498509,We recommend Rosedene as a quiet spot but close to Inverness!,"We loved the location (near the River walk and we could have a lovely walk to town each day and back) and Amjed, our property manager, was really communicative and helpful!",It was missing a few items like a hair dryer and a wine opener and had limited dish soap and trash bags.,9,10,10,10,10,10,10,
2022-08-02 15:08:22,Christophe,3716816952,Très bel appartement fonctionnel et confortable.,"Bel appartement très bien équipé, avec notamment un lave-linge/sèche-linge. Le parking sur place. Une bonne literie.",Sans objet,9,7.5,10,7.5,10,10,10,
2022-08-03 14:44:21,Ibrahim,2737473720,"One of the best, will back again ","Everything location is perfect, Staff professional, the owner of the property one of the best people I deal with. the property very clean, a fully equipped kitchen and all things you need such as vacuum, iron smart TV.",Nothing ,10,10,10,10,10,10,10,
2022-08-05 0:55:30,Sören,3252375247,Mycket bra och varma rekommendationer ,"kändes helt nytt fast det var nästan ett år! mycket välskött, och fantastisk ägare som tog hand om sina gäster! ",15 min promenad till city ,10,10,10,7.5,10,10,10,
2022-08-05 6:46:36,BenjÃ³,3668216902,,Muito capricho! EletrÃ´nico Ã³timos!,,10,10,10,10,10,10,10,
2022-08-05 22:51:17,Bertina,3594973464,Great place!  Great Location!  We will for sure still here again on our next adventure.,No Breakfast,,10,10,10,10,10,10,10,
2022-08-07 22:06:47,Claire,3298402906,Terrible experience,"The accommodation is nice and well presented , had the experience been much better I would have rated them highb","after arriving at 8pm Friday to have a few drinks and play some henny games , some of us went to bed at 10.40 the latest was 12.20am, for a group of 22 people I think at was pretty good . The owner was well aware we was a hen party

Sent us a message at 8 pm last night when we had been out the apartment all day from 12.45pm telling us we wasn't getting back in and was always Aware we was a hen party . It was a large group booking and there is always going to be some kind of noise with such a large party , I did let you know we was staying in the apartment Friday night ( we was playing games for the hen party ) but the latest people went to bed was 12.20. If you check back cctv some starting going to bed around 10.45 . The room was set up to sleep 8 people , even 8 people in one room will generate some noise . When I spoke with you on the phone when we first booked you told me you would make other guests aware that there a hen party staying and to expect some noise . We didn't arrive until nearly 8pm Friday night and then we went to bed just after 12am , we was not disrespectful to any guests staying. We took care of the apartments , cleaned all our rubbish out , took them out to waste , people
Was smoking at the side and you do have a cigarette butt bin there , all butts was put in there and we also saw other guests smoking there so was not just us . There was one almost empty bear left on the reception desk as we headed out for taxi on Saturday this was a general mistake , just rushing to get out to the taxi on time . There wasn't alcohol left everywhere . 
Then to be told there wasn't late check out arranged when there was and to wait in the seating areas for our bus it was so unprofessional",4,5,10,7.5,7.5,2.5,7.5,"Dear Claire, we agree, it was a terrible experience for us. 

You arrived late and your group was heavily intoxicated and behaved in a drunk and disorderly fashion. As the group leader, you took no responsibility for your group or the groups behaviour. 

Our staff tried to help as much as possible but your group was out of control, some falling down the stairs as they could not stay standing due to the level of intoxication, others were smoking in the doorway, others were abusive and rude to staff, you were neglectful and  disrespectful and you breached our quiet hours policy. 

You did not respond when we contacted you, we made attempts to warn you of the actions we would take for the policy breach, but you did not respond. 

Therefore, within a few hours of your arrival you were asked to leave the premises. Your group then decided to disperse back to their designated apartments and eventually everything settled by 1am. 

Your conduct was reported to Booking.com who advised that we modify your reservation to a one night stay and not allow you back into the building for another night. They recorded your behaviour as guest misconduct. 

You protested and said your group would be left stranded without accommodation if you were not allowed to stay the second night. As you were in breach of our terms of stay we were not obligated to relocate you and due to guest misconduct the booking agent was also not responsible to relocate you. 

We decided to assist you and your group by allowing the second night stay, this was on condition and agreement that there would not be any further disturbance from your group, your group would observe our quiet hour rules and on return from your outing go straight to bed and check out speedily in the morning without causing any inconvenience to other guests, staff or management. 

You had originally extended your check-out however due to your conduct and behaviour you were reverted to a standard check-out. 
 
On check-out, you were still in your apartments at 12pm, we never rushed you and assisted you by allowing you the time to get yourselves organised and allocated you a designated wait area within our property for your bus to arrive.

We care deeply for our property, all our guests, our neighbourhood and environment and have a great responsibility to ensure no one causes any upset, damage or nuisance.

You had a perfect opportunity to enjoy our fabulous property and setting for your occasion however you crossed the line of decency and respectability. 

You should not be looking to blame others, it was your responsibility to control the conduct and behaviour of your group and to stay cooperative. Your groups behaviour was disappointing and was not welcome at Rosedene. 

You let yourself and your group down by being disruptive and ignorant of our house rules, you spoilt your own experience and we are not sure that you will even remember much of it due to your state of intoxication.

We have had many groups stay and enjoy Rosedene for occasions and celebrations such as stag do’s, hen do’s, weddings, birthdays, honeymoons. anniversary’s etc. Everyone has been completely respectful and observant of house rules and policies of stay and they all fully enjoyed their occasions. 

We wish you all the best and would still like to receive you again at Rosedene however in different circumstances, we believe you and your group individually are good people but on this group occasion you let yourselves down. 

We are satisfied that we controlled the situation and handled it well to your own benefit and to the benefit of others. 

Best Regards, from all at Rosedene Highland House   







"
2022-08-08 22:21:58,Malou,2662060153,Perfecte locatie en de aardigste host die je maar kan wensen,Perfecte locatie en meest vriendelijke host!,,8,10,7.5,7.5,10,7.5,7.5,
2022-08-09 12:31:08,alexandra,2753235094,,,,10,10,7.5,10,10,10,10,
